Магазин;Номер чека;Дата;Товар;Характеристика;Артикул;Кількість;Ціна;Сума
Днепр;НФНФ-D17764;10.03.2026 16:26:10;Мереживний бюстгальтер пуш-ап Shine Very Sexy;Зелений, 36, D;409-167-QCZ-36D;1,0;4250,0;4250,0
Днепр;НФНФ-D17770;12.03.2026 14:24:29;Бюстгальтер демі без кісточок The T-Shirt;білий, 34, B;417-548-QBF-34B;1,0;2750,0;2750,0
Днепр;НФНФ-D17771;12.03.2026 16:30:11;Бюстгалтер подвійний пуш-ап Bombshell Shine Very Sexy;чорний, 32, A;421-998-QB4-32A;1,0;4250,0;3981,01
Днепр;НФНФ-D17771;12.03.2026 16:30:11;Бюстгальтер пуш-ап Starstruck Shine Very Sexy;чорний, 32, B;420-286-QB4-32B;1,0;4250,0;3981,01
Днепр;НФНФ-D17775;13.03.2026 13:33:29;Бюстгальтер демі безшовний Infinity Flex;чорний, 34, C;318-446-QB4-34C;1,0;2490,0;2130,0
Лесі Українки;НФНФ-K13341;03.03.2026 16:50:56;Бюстгальтер балконет Logo Embroidery Very Sexy;Коричневий 34C;904-528-QD6-34C;1,0;3450,0;3105,0
Лесі Українки;НФНФ-K13341;03.03.2026 16:50:56;Бюстгальтер пуш-ап Shine Cradle Very Sexy;бордовий, 34, C;429-866-QCJ-34C;1,0;4250,0;3825,0
Лесі Українки;НФНФ-K13343;04.03.2026 16:59:00;Бюстгальтер пуш-ап Shine Cradle Very Sexy;бордовий, 34, C;429-866-QCJ-34C;1,0;4250,0;3825,0
Лесі Українки;НФНФ-K13343;04.03.2026 16:59:00;Мереживний бюстгальтер пуш-ап Shine Cradle Very Sexy;Рожевий, 36, B;192-842-QDE-36B;1,0;4250,0;3825,0
Лесі Українки;НФНФ-K13348;05.03.2026 19:34:03;Бюстгальтер пуш-ап Banded Lace;червоний 36 C;398-454-GQT-36C;1,0;975,0;975,0
Лесі Українки;НФНФ-K13349;05.03.2026 19:35:23;Бюстгальтер пуш-ап Rose Lace Very Sexy;Чорний, 34, B;421-987-QB4-34B;1,0;3490,0;3490,0
Лесі Українки;НФНФ-K13355;07.03.2026 11:27:18;Кружевной Бюстгальтер Dream Angels;червоний, 38, DDD;386-462-FWH-38DDD;1,0;2790,0;2790,0
Лесі Українки;НФНФ-K13357;07.03.2026 16:05:44;Бюстгальтер демі без кісточок Shine Patch The T-shirt;лео принт, 34, D;431-940-SPA-34D;1,0;2990,0;2990,0
Лесі Українки;НФНФ-K13374;12.03.2026 18:34:13;Бюстгальтер пуш-ап Shine Cradle Very Sexy;чорний 34 B;429-866-QС5-34B;1,0;4250,0;4250,0
